No,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
63,ITC,EQ,13-Nov-18,273.85,273.95,277.9,273.15,276.65,276.85,275.13,6700755,1843557323,71903,4306155,64.26
64,ITC,EQ,14-Nov-18,276.85,278.1,278.4,274.65,276.15,276.45,276.23,6915975,1910391504,102616,4624829,66.87
65,ITC,EQ,15-Nov-18,276.45,276.85,279.25,273.5,274.4,274.5,276.1,12153864,3355736243,105019,7628588,62.77
66,ITC,EQ,16-Nov-18,274.5,275.8,278.3,275.25,277,276.55,276.61,12635521,3495120978,109489,7145490,56.55
67,ITC,EQ,19-Nov-18,276.55,277.35,285,276.5,284.5,284.5,281.29,16720100,4703137869,117428,10190636,60.95
68,ITC,EQ,20-Nov-18,284.5,285,286.65,281.8,283.5,283.85,284.45,7796633,2217717398,76675,2903336,37.24
69,ITC,EQ,21-Nov-18,283.85,284.5,284.8,280,282.65,281.75,281.99,5650063,1593254986,52802,2643560,46.79
70,ITC,EQ,22-Nov-18,281.75,282,284.5,279.6,280,280.5,281.79,6680354,1882431108,71016,3787396,56.69
71,ITC,EQ,26-Nov-18,280.5,281.25,286.35,280.7,285.5,285.65,284.26,8948042,2543577827,96175,4364273,48.77
72,ITC,EQ,27-Nov-18,285.65,286.1,286.45,282.8,284.4,284.85,284.28,6881741,1956349461,71066,3955822,57.48
73,ITC,EQ,28-Nov-18,284.85,285.4,287.95,280.8,282.2,282.2,283.94,8856761,2514765773,95315,4940854,55.79
74,ITC,EQ,29-Nov-18,282.2,283.65,289.3,283.45,288.35,287.55,287.04,13657479,3920238580,99598,7265354,53.2
75,ITC,EQ,30-Nov-18,287.55,289.5,290,284.8,286.2,285.8,286.99,8639876,2479519613,114804,5616524,65.01
76,ITC,EQ,03-Dec-18,285.8,287.25,289.5,282.55,283.5,282.95,285.71,8565591,2447285103,122887,5465860,63.81
77,ITC,EQ,04-Dec-18,282.95,281,283.3,280.95,281.8,281.85,282.12,6305882,1779018634,74805,3928514,62.3
78,ITC,EQ,05-Dec-18,281.85,281,281.8,274.2,275.9,275.35,276.58,11453283,3167707620,112093,7890298,68.89
79,ITC,EQ,06-Dec-18,275.35,274.5,274.9,271.5,272.8,273.05,273.28,9682118,2645884632,110652,5065049,52.31
80,ITC,EQ,07-Dec-18,273.05,274.95,276.2,273.3,274.25,274.05,274.54,8103784,2224840243,75302,5363771,66.19
